kpi_unit,kpi_formula,kpi_output_type,kpi_source,kpi_name,kpi_id,kpi_category
$,A,$,EventVester,Revenue - Other,275,Revenue
$,A,$,EventVester,Revenue - Parts and service,276,Revenue
$,A,$,EventVester,Revenue - Used vehicle,277,Revenue
$,A,$,EventVester,"Sales by Type - Finance and insurance, net Sales",278,Sales by Type
$,A,$,EventVester,Sales by Type - New vehicle Sales,279,Sales by Type
$,A,$,EventVester,Sales by Type - Other Sales,280,Sales by Type
$,A,$,EventVester,Sales by Type - Parts and service Sales,281,Sales by Type
$,A,$,EventVester,Sales by Type - Used vehicle Sales,282,Sales by Type
$,A,$,EventVester,Segment Revenues - Corporate and other,283,Segment Revenues
$,A,$,EventVester,Segment Revenues - Corporate and other Revenue,284,Segment Revenues
$,A,$,EventVester,Segment Revenues - Domestic,285,Segment Revenues
$,A,$,EventVester,Segment Revenues - Domestic Revenue,286,Segment Revenues
$,A,$,EventVester,Segment Revenues - Import,287,Segment Revenues
$,A,$,EventVester,Segment Revenues - Import Revenue,288,Segment Revenues
$,A,$,EventVester,Segment Revenues - Premium Luxury,289,Segment Revenues
$,A,$,EventVester,Segment Revenues - Premium Luxury Revenue,290,Segment Revenues
vehicles,A,$,EventVester,Vehicles sold - Total Vehicles sold,291,Vehicles sold
vehicles,A,$,EventVester,Vehicles sold - New vehicle,292,Vehicles sold
vehicles,A,$,EventVester,Vehicles sold - Used vehicle,293,Vehicles sold
$,A,$,EventVester,Domestic Commercial Sales - Total Domestic Commercial Sales,294,Domestic Commercial Sales
$,A,$,EventVester,Sales per average store ,295,Sales per average store 
$,A,$,EventVester,Segment Sales - Auto Parts Locations,296,Segment Sales
$,A,$,EventVester,Segment Sales - Net Sales,297,Segment Sales
$,A,$,EventVester,Segment Sales - Other,298,Segment Sales
$,A,$,EventVester,Segment Sales - Total domestic commercial sales,299,Segment Sales
$,A,$,EventVester,Segment Sales  - Total auto parts sales,300,Segment Sales 
stores,A,$,EventVester,Segment Stores - Ending Brazil stores,301,Segment Stores
stores,A,$,EventVester,Segment Stores - Ending Domestic Stores,302,Segment Stores
stores,A,$,EventVester,Segment Stores - Ending Mexico stores,303,Segment Stores
stores,A,$,EventVester,Segment Stores - New Stores,304,Segment Stores
stores,A,$,EventVester,Segment Stores - Total Stores,305,Segment Stores
$,A,$,EventVester,Geographic Segment Revenue - Service revenues from International,306,Geographic Segment Revenue
$,A,$,EventVester,Geographic Segment Revenue - Service revenues from United States,307,Geographic Segment Revenue
$,A,$,EventVester,Geographic Segment Revenue - Vehicle sales from International,308,Geographic Segment Revenue
$,A,$,EventVester,Geographic Segment Revenue - Vehicle sales from United States,309,Geographic Segment Revenue
$,A,$,EventVester,Revenue by Type - Service revenues,310,Revenue by Type
$,A,$,EventVester,Revenue by Type - Vehicle sales,311,Revenue by Type
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Service revenues,312,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - United States Revenue,313,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Vehicle sales,314,Segment Revenue
$,SUM(A1+A2+...+An)/n,$,EventVester,Gross profit - Total gross profit per retail unit sold,315,Gross profit
%,SUM(A1+A2+...+An)/n,%,EventVester,Price - Average Retail Sales Price ,316,Price
%,(A-B)/A,%,EventVester,Sales - Retail units sold ,317,Sales
%,(A-B)/A,%,EventVester,Sales - Unit Sales Volume,318,Sales
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Interest income Revenue,319,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Sales Revenue,320,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Accident protection plan revenue,321,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Sales Ã¢â‚¬â€œ used autos,322,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Service contract sales,323,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Wholesales third party,324,Sub-Segment Revenue
% increase yoy,A,%,EventVester,Retail Units Sold - Cars,325,Retail Units Sold
units,A,$,EventVester,Retail Units Sold - Cars,325,Retail Units Sold
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Other sales and revenues,326,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,"Segment Revenue - Used vehicle sales, net",327,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Wholesale vehicle sales,328,Segment Revenue
%,(A-B)/A,%,EventVester,Vehicles Purchased - % Increase Customers,329,Vehicles Purchased
$,SUM(A1+A2+...+An)/n,$,EventVester,Average gross profit per unit - New vehicles,330,Average gross profit per unit
$,SUM(A1+A2+...+An)/n,$,EventVester,Average gross profit per unit - Used vehicles,331,Average gross profit per unit
$,SUM(A1+A2+...+An)/n,$,EventVester,Average selling price - New vehicles,332,Average selling price
$,SUM(A1+A2+...+An)/n,$,EventVester,Average selling price - Used vehicles,333,Average selling price
#,A,#,EventVester,Customers - Active Customers,334,Customers
#,A,#,EventVester,Good Sam Club members,335,Good Sam Club members
stores,"COUNT(A1, A2,…,An)",#,EventVester,Number of store locations,336,Number of store locations
stores,"COUNT(A1, A2,…,An)",#,EventVester,Retail locations - Other retail stores,337,Retail locations
#,A,#,EventVester,Retail locations - RV dealerships,338,Retail locations
#,A,#,EventVester,Retail locations - RV service & retail centers,339,Retail locations
Locations,"COUNT(A1, A2,…,An)",#,EventVester,Same store locations,340,Same store locations
stores,A-B,$,EventVester,Same store unit sales - New vehicles,341,Same store unit sales
stores,A-B,$,EventVester,Same store unit sales - Used vehicles,342,Same store unit sales
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Good Sam Services and Plans Revenue,343,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - RV and Outdoor Retail Revenue,344,Segment Revenue
vehicles,A,$,EventVester,Unit sales - New vehicles,345,Unit sales
$,A,$,EventVester,Unit sales - New vehicles sales,346,Unit sales
$,A,$,EventVester,Unit sales - Used vehicles	sales,347,Unit sales
vehicles,A,$,EventVester,Unit sales - Used vehicles,348,Unit sales
$,A/B,$,EventVester,Vehicle inventory per location - New vehicle inventory per dealer location,349,Vehicle inventory per location
$,A/B,$,EventVester,Vehicle inventory per location - Used vehicle inventory per dealer location,350,Vehicle inventory per location
$,A,$,EventVester,Revenue by Type - Advertising contributions,351,Revenue by Type
$,A,$,EventVester,Revenue by Type - Company-operated store sales,352,Revenue by Type
$,A,$,EventVester,Revenue by Type - Franchise royalties and fees,353,Revenue by Type
$,A,$,EventVester,Revenue by Type - Independently-operated store sales,354,Revenue by Type
$,A,$,EventVester,Revenue by Type - Supply and other revenue,355,Revenue by Type
%,(A-B)/A,%,EventVester,Same-Store Sales - Car Wash,356,Same-Store Sales
%,(A-B)/A,%,EventVester,Same-Store Sales - Maintenance,357,Same-Store Sales
%,(A-B)/A,%,EventVester,"Same-Store Sales - Paint, Collision & Glass",358,Same-Store Sales
%,(A-B)/A,%,EventVester,Same-Store Sales - Platform Services,359,Same-Store Sales
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Car Wash,360,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Corporate / Other,361,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Maintenance,362,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,"Segment Revenue - Paint, Collision & Glass",363,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Platform Services,364,Segment Revenue
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Car Wash,365,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Maintenance,366,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,"Store Count - Paint, Collision & Glass",367,Store Count
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Platform Services,368,Store Count
$,A-B,$,EventVester,Average sales price per unit sold - New vehicle retail,369,Average sales price per unit sold
$,A-B,$,EventVester,Average sales price per unit sold - Used vehicle retail,370,Average sales price per unit sold
$,A/B,$,EventVester,Gross profit per unit sold - New vehicle retail sales,371,Gross profit per unit sold
$,A/B,$,EventVester,Gross profit per unit sold - Total used,372,Gross profit per unit sold
$,A/B,$,EventVester,Gross profit per unit sold - Used vehicle retail sales,373,Gross profit per unit sold
$,A/B,$,EventVester,Gross profit per unit sold - Used vehicle wholesale sales,374,Gross profit per unit sold
$,A,$,EventVester,Revenue by geographic area - Brazil Revenue,375,Revenue by geographic area
$,A,$,EventVester,Revenue by geographic area - U.K. Revenue,376,Revenue by geographic area
$,A,$,EventVester,Revenue by geographic area - U.S. Revenue,377,Revenue by geographic area
$,"SUM(A1,A2,…,An)",$,EventVester,"Segment Revenue - Finance, insurance and other, net",378,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - New vehicle retail sales,379,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Parts and service sales,380,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used vehicle retail sales,381,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used vehicle wholesale sales,382,Segment Revenue
vehicles,A,$,EventVester,Units sold - Retail new vehicles sold,383,Units sold
vehicles,A,$,EventVester,Units sold - Retail used vehicles sold,384,Units sold
vehicles,A,$,EventVester,Units sold - Wholesale used vehicles sold,385,Units sold
$,A,$,EventVester,Revenue by geographic area - International Revenue,386,Revenue by geographic area
$,A,$,EventVester,Revenue by geographic area - United States Revenue,387,Revenue by geographic area
$,A,$,EventVester,Revenue by Segment - Service revenues,388,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Vehicle sales,389,Revenue by Segment
Dealers,A,#,EventVester,Active dealers,390,Active dealers
acres,A,#,EventVester,Land - Acres of land per site,391,Land
Locations,A,#,EventVester,Number of locations,392,Number of locations
Websites,A,#,EventVester,Private label websites,393,Private label websites
$,A,$,EventVester,Sale of used vehicles,394,Sale of used vehicles
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Auction fees,395,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Finance-related revenue,396,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Purchased vehicle sales,397,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Service revenue,398,Segment Revenue
%,A,%,EventVester,Vehicles - Vehicles floorplanned by AFC,399,Vehicles
$ per unit,A/B,R,EventVester,Average Selling Price - Used vehicles,400,Average Selling Price
$ per unit,A/B,R,EventVester,Average Selling Price - Wholesale vehicles,401,Average Selling Price
$ per unit,A/B,R,EventVester,Average Selling Price for Used Behicles - Used Vehicles,402,Average Selling Price for Used Behicles
$ per unit,A/B,R,EventVester,Average Selling Price for Wholesale Vehicles - Wholesale Vehicles,403,Average Selling Price for Wholesale Vehicles
$,A,$,EventVester,CarMax Auto Finance - Interest and fee income,404,CarMax Auto Finance
$,A,$,EventVester,CarMax Auto Finance Interest and Fee Income - Interest and fee income,405,CarMax Auto Finance Interest and Fee Income
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - New vehicle sales,406,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used vehicle sales,407,Segment Revenue
vehicles,A,$,EventVester,Segment Vehicle Unit Sales - Total new vehicle unit sales,408,Segment Vehicle Unit Sales
units,A,#,EventVester,Segment Vehicle Unit Sales - Total used vehicle unit sales,409,Segment Vehicle Unit Sales
vehicles,A,$,EventVester,Segment Vehicle Unit Sales - Total used vehicle unit sales,409,Segment Vehicle Unit Sales
units,A,#,EventVester,Segment Vehicle Unit Sales - Total wholesale vehicle unit sales,410,Segment Vehicle Unit Sales
vehicles,A-B,$,EventVester,Segment Vehicle Unit Sales - Total wholesale vehicle unit sales,410,Segment Vehicle Unit Sales
%,(A-B)/A,%,EventVester,Vehicle Sales Changes - Used vehicle revenues,411,Vehicle Sales Changes
%,(A-B)/A,%,EventVester,Vehicle Sales Changes - Used vehicle units,412,Vehicle Sales Changes
%,(A-B)/A,%,EventVester,Vehicle Sales Changes - Wholesale vehicle revenues,413,Vehicle Sales Changes
%,(A-B)/A,%,EventVester,Vehicle Sales Changes - Wholesale vehicle units,414,Vehicle Sales Changes
$/Unit,A/B,$,EventVester,Average gross profit per unit - Finance and insurance gross profit per unit,415,Average gross profit per unit
$/Unit,A/B,$,EventVester,Average gross profit per unit - New vehicle retail gross profit per unit,416,Average gross profit per unit
$/Unit,A/B,$,EventVester,Average gross profit per unit - Total vehicle gross profit per unit,417,Average gross profit per unit
$/Unit,A/B,$,EventVester,Average gross profit per unit - Used vehicle retail gross profit per unit,418,Average gross profit per unit
units,A,$,EventVester,Driveway Shop units,419,Driveway Shop units
units,A,$,EventVester,E-commerce platform Unit Sales,420,E-commerce platform Unit Sales
vehicles,A,$,EventVester,Retail units sold - New vehicle retail unit sales,421,Retail units sold
vehicles,A,$,EventVester,Retail units sold - Used vehicle retail unit sales,422,Retail units sold
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Finance and insurance revenue,423,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Fleet and other revenue,424,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - New vehicle retail revenue,425,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,"Segment Revenue - Service, body and parts revenue",426,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used vehicle retail revenue,427,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Used vehicle wholesale revenue,428,Segment Revenue
vehicles,A,$,EventVester,Unit Sales - New vehicle retail unit sales,429,Unit Sales
vehicles,A,$,EventVester,Unit Sales - Used vehicle retail unit sales,430,Unit Sales
% decrease yoy,(A-B)/A,%,EventVester,comparable store sales,431,comparable store sales
% increase,(A-B)/A,%,EventVester,comparable store sales,431,comparable store sales
% increase yoy,(A-B)/A,%,EventVester,comparable store sales ,432,comparable store sales 
$,A,$,EventVester,Revenue by product group - Brakes,433,Revenue by product group
$,A,$,EventVester,Revenue by product group - Exhaust,434,Revenue by product group
$,A,$,EventVester,Revenue by product group - Maintenance,435,Revenue by product group
$,A,$,EventVester,Revenue by product group - Other,436,Revenue by product group
$,A,$,EventVester,Revenue by product group - Steering,437,Revenue by product group
$,A,$,EventVester,Revenue by product group - Tires,438,Revenue by product group
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - alignments - Comparable Store Sales,439,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - alignments - Comparable Store Sales,439,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - alignments - Comparable Store Sales,439,Segment - comparable store sales
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - brakes - comparable store sales,440,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - brakes - comparable store sales,440,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - brakes - comparable store sales,440,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - exhaust -comparable store sales,441,Segment - comparable store sales
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - Exhaust-comparable store sales,442,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - Exhaust-comparable store sales,442,Segment - comparable store sales
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - front end/shocks - comparable store sales,443,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - front end/shocks - comparable store sales,443,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - front end/shocks - comparable store sales,443,Segment - comparable store sales
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - maintenance services - comparable store sales,444,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - maintenance services - comparable store sales,444,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - maintenance services - comparable store sales,444,Segment - comparable store sales
% decrease,(A-B)/A,%,EventVester,Segment - comparable store sales - Tires - comparable store sales,445,Segment - comparable store sales
% decrease yoy,(A-B)/A,%,EventVester,Segment - comparable store sales - Tires - comparable store sales,445,Segment - comparable store sales
% increase,(A-B)/A,%,EventVester,Segment - comparable store sales - Tires - comparable store sales,445,Segment - comparable store sales
% increase yoy,(A-B)/A,%,EventVester,Segment - comparable store sales  - alignments - Comparable Store Sales,446,Segment - comparable store sales 
% increase yoy%,(A-B)/A,%,EventVester,Segment - comparable store sales  - brakes - comparable store sales ,447,Segment - comparable store sales 
% increase yoy,(A-B)/A,%,EventVester,Segment - comparable store sales  - front end/shocks - comparable store sales ,448,Segment - comparable store sales 
% increase yoy,(A-B)/A,%,EventVester,Segment - comparable store sales  - maintenance services - comparable store sales ,449,Segment - comparable store sales 
% increase yoy,(A-B)/A,%,EventVester,Segment - comparable store sales  - Tires - comparable store sales ,450,Segment - comparable store sales 
stores,"COUNT(A1, A2,…,An)",#,EventVester,Store count,451,Store count
$,A,$,EventVester,Segment Sales - Sales,452,Segment Sales
$/sqf,A,$,EventVester,Segment Sales - Sales per weighted-average square foot,453,Segment Sales
$/store,A,$,EventVester,Segment Sales - Sales per weighted-average store,454,Segment Sales
$,A,$,EventVester,Segment Sales  - Other sales and sales adjustments,455,Segment Sales 
$,A,$,EventVester,Segment Sales  - Sales to do-it-yourself customers,456,Segment Sales 
$,A,$,EventVester,Segment Sales  - Sales to professional service provider customers,457,Segment Sales 
$/sqf,"SUM(A1,A2,…,An)",$,EventVester,Store and Team Member Information - Sales per weighted-average square foot,458,Store and Team Member Information
$/store,"SUM(A1,A2,…,An)",$,EventVester,Store and Team Member Information - Sales per weighted-average store,459,Store and Team Member Information
stores,"SUM(A1,A2,…,An)",$,EventVester,Store and Team Member Information - Square footage (in thousands),460,Store and Team Member Information
stores,"SUM(A1,A2,…,An)",$,EventVester,Store Count - Ending total store count,461,Store Count
$/truck,A/B,$,EventVester,Average gross profit - Average gross profit per new truck retailed,462,Average gross profit
$/vehicle,A/B,$,EventVester,Average gross profit - Average gross profit per new vehicle retailed,463,Average gross profit
$/truck,A/B,$,EventVester,Average gross profit - Average gross profit per used truck retailed,464,Average gross profit
$/vehicle,A/B,$,EventVester,Average gross profit - Average gross profit per used vehicle retailed,465,Average gross profit
%,A,%,EventVester,Geographic Revenue - North America,466,Geographic Revenue
%,A,%,EventVester,Geographic Revenue - Other International,467,Geographic Revenue
%,A,%,EventVester,Geographic Revenue - U.K.,468,Geographic Revenue
$/unit,A,$,EventVester,New retail sales revenue per unit,469,New retail sales revenue per unit
units,A,$,EventVester,New retail unit sales,470,New retail unit sales
$,A,$,EventVester,Revenue by Segment - Commercial Vehicles Australia/Power Systems,471,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Retail Automotive,472,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Retail Commercial Trucks,473,Revenue by Segment
$/truck,"SUM(A1,A2,…,An)",$,EventVester,Same-store average gross profit - Same-store average gross profit per new truck retailed,474,Same-store average gross profit
$/vehicle,"SUM(A1,A2,…,An)",$,EventVester,Same-store average gross profit - Same-store average gross profit per new vehicle retailed,475,Same-store average gross profit
$/truck,"SUM(A1,A2,…,An)",$,EventVester,Same-store average gross profit - Same-store average gross profit per used truck retailed,476,Same-store average gross profit
$/vehicle,"SUM(A1,A2,…,An)",$,EventVester,Same-store average gross profit - Same-store average gross profit per used vehicle retailed,477,Same-store average gross profit
$/unit,A-B,$,EventVester,Same-store new retail sales - Same-store new retail sales revenue per unit,478,Same-store new retail sales
stores,A-B,$,EventVester,Same-store new retail unit sales,479,Same-store new retail unit sales
$/unit,A-B,$,EventVester,Same-store used retail sales revenue per unit,480,Same-store used retail sales revenue per unit
stores,A-B,$,EventVester,Same-store used retail unit sales,481,Same-store used retail unit sales
$/unit,A,$,EventVester,Used retail sales revenue per unit,482,Used retail sales revenue per unit
units,A,$,EventVester,Used retail unit sales,483,Used retail unit sales
%,A,R,EventVester,Absorption ratio,484,Absorption ratio
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Finance and insurance Sales,485,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Lease and rental Sales,486,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - New and used commercial vehicle sales,487,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Other Sales,488,Segment Revenue
Trucks,A,#,EventVester,sold  commercial trucks - sold commercial trucks,489,sold  commercial trucks
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - New heavy-duty vehicles - New and used commercial vehicle sales,490,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - New light-duty vehicles - New and used commercial vehicle sales,491,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - New medium-duty vehicles (including bus sales revenue) - New and used commercial vehicle sales,492,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Other vehicles - New and used commercial vehicle sales,493,Sub-Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Sub-Segment Revenue - Used vehicles - New and used commercial vehicle sales,494,Sub-Segment Revenue
$,A,$,EventVester,Gross Profit Per Unit by segment - EchoPark Same Market-Total used vehicle and F&I,495,Gross Profit Per Unit by segment
$,A,$,EventVester,Gross Profit Per Unit by segment - EchoPark-Total used vehicle and F&I,496,Gross Profit Per Unit by segment
$,A,$,EventVester,Gross Profit Per Unit by segment - Franchised Dealerships Same Store - Used vehicles,497,Gross Profit Per Unit by segment
$,A,$,EventVester,Gross Profit Per Unit by segment - Franchised Dealerships Same Store -New vehicles,498,Gross Profit Per Unit by segment
$,A,$,EventVester,Gross Profit Per Unit by segment - Franchised Dealerships-New vehicles,499,Gross Profit Per Unit by segment
$,A,$,EventVester,Gross Profit Per Unit by segment - Franchised Dealerships-Used vehicles,500,Gross Profit Per Unit by segment
Dealerships,A,$,EventVester,Number of Franchised Dealerships,501,Number of Franchised Dealerships
$,A,$,EventVester,Revenue by Segment - EchoPark Segment revenues,502,Revenue by Segment
$,A,$,EventVester,Revenue by Segment - Franchised Dealerships Segment revenues,503,Revenue by Segment
$,A,$,EventVester,"Revenue by Type - Finance, insurance and other Revenue",504,Revenue by Type
$,A,$,EventVester,"Revenue by Type - Parts, service and collision repair Revenue",505,Revenue by Type
$,A,$,EventVester,Revenue by Type - Vehicles Revenue,506,Revenue by Type
$,A,$,EventVester,Revenue per unit by segment - EchoPark -Wholesale vehicles,507,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - EchoPark Same Market-Wholesale vehicles,508,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - EchoPark Segment same store-Used vehicle,509,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - EchoPark Segment-Used vehicle,510,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships Same Store -Wholesale vehicles,511,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships same store-new vehicles,512,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships same store-used vehicles,513,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships Segment reported- used vehicles,514,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships Segment reported-new vehicles,515,Revenue per unit by segment
$,A,$,EventVester,Revenue per unit by segment - Franchised Dealerships Segment reported-wholesale vehicles,516,Revenue per unit by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - EchoPark -Wholesale vehicles,517,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - EchoPark Same Market-Used vehicles,518,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - EchoPark Same Market-Wholesale vehicles,519,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - EchoPark-New vehicles,520,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - EchoPark-Used vehicles,521,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships -  Retail new & used vehicles,522,Unit Sales Volume by segment
ratio,A/B,R,EventVester,Unit Sales Volume by segment - Franchised Dealerships -  Used-to-New Ratio,523,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships - New vehicles,524,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships - Used vehicles,525,Unit Sales Volume by segment
vehicles,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships - Wholesale vehicles,526,Unit Sales Volume by segment
stores,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships Same Store - Retail new & used vehicles,527,Unit Sales Volume by segment
stores,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships Same Store - Used vehicles,528,Unit Sales Volume by segment
stores,A/B,R,EventVester,Unit Sales Volume by segment - Franchised Dealerships Same Store - Used-to-New Ratio,529,Unit Sales Volume by segment
stores,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships Same Store -New vehicles,530,Unit Sales Volume by segment
stores,A-B,$,EventVester,Unit Sales Volume by segment - Franchised Dealerships Same Store -Wholesale vehicles,531,Unit Sales Volume by segment
days,A,#,EventVester,Average days to sale,532,Average days to sale
visitor,A,#,EventVester,Average monthly unique visitors,533,Average monthly unique visitors
units,A,$,EventVester,Average monthly unique visitors,533,Average monthly unique visitors
$,A,$,EventVester,Average selling price- By segment - Ecommerce,534,Average selling price- By segment
$,A,$,EventVester,Average selling price- By segment - Wholesale,535,Average selling price- By segment
$,A,$,EventVester,Ecommerce ASP,536,Ecommerce ASP
units,A,$,EventVester,Ecommerce Units,537,Ecommerce Units
Vehicles,A,$,EventVester,Ecommerce vehicles available for sale,538,Ecommerce vehicles available for sale
$/unit,A,$,EventVester,Gross Profit per Unit by segment - Ecommerce Gross Profit per Unit,539,Gross Profit per Unit by segment
$/unit,A,$,EventVester,Gross Profit per Unit by segment - Other Gross Profit per Unit,540,Gross Profit per Unit by segment
$/unit,A,$,EventVester,Gross Profit per Unit by segment - Wholesale Gross Profit per Unit,541,Gross Profit per Unit by segment
units,,$,EventVester,Number of regional hubs,542,Number of regional hubs
$,"SUM(A1,A2,…,An)",$,EventVester,"Segment Revenue - Ecommerce revenue, net",543,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Other revenue,544,Segment Revenue
$,"SUM(A1,A2,…,An)",$,EventVester,Segment Revenue - Wholesale vehicle revenue,545,Segment Revenue
units,A,$,EventVester,Total units sold,546,Total units sold
units,A,$,EventVester,Units sold by segment - Ecommerce units,547,Units sold by segment
units,A,$,EventVester,Units sold by segment - Wholesale units,548,Units sold by segment
units,A,$,EventVester,Units sold- By segment - Ecommerce,549,Units sold- By segment
units,A,$,EventVester,Units sold- By segment - Wholesale,550,Units sold- By segment
$,A,$,EventVester,Wholesale ASP,551,Wholesale ASP
